target,regressor,total_pnl,mse,score
5,30,-139.24073973989147,3.3740468883922776e-05,-1.02743417143195
5,31,-150.44657114213658,3.388543831735399e-05,-1.0650469949578967
5,32,-120.59964487291826,3.385180214180695e-05,-0.9648086610954965
5,33,-144.9638607810338,3.447590190499874e-05,-1.0466472110439913
5,34,-143.03723122504942,3.371839552770725e-05,-1.0401800749808174
5,35,-194.38792727843884,3.42172599814793e-05,-1.2122943296893753
5,36,-202.30795626748971,3.379136587958877e-05,-1.2387930092316242
5,37,-7.7057122400622164,3.3126768187862755e-05,-0.5840408822341179
5,38,-141.43710982008582,3.4439295368941836e-05,-1.0348083647865383
5,39,-70.31134886604659,3.376007279677692e-05,-0.7955143825990625
5,40,-144.59219263139343,3.412291919990479e-05,-1.0453996870588314
5,41,-183.13045993848073,3.412988156629602e-05,-1.1746075918413301
5,42,-110.2282693160716,3.355669897628596e-05,-0.9299353524281944
5,43,-62.707638817325815,3.417947581695775e-05,-0.7698723387031782
5,44,-66.3501850261181,3.3888538460583066e-05,-0.7821575779684384
5,45,-107.43204758674135,3.394818851490798e-05,-0.9205294726500485
5,46,-126.14355765287755,3.3815288704729286e-05,-0.9834409592867952
5,47,-155.52598927033307,3.435556761900955e-05,-1.0820879520560338
5,48,-182.58684236173588,3.3724294780184106e-05,-1.1727870724719802
5,49,-122.08310489352313,3.392634162022923e-05,-0.9697949637539425
6,0,-269.35461770154524,0.00013600123349798051,-2.0243553991166943
6,1,-133.88739928454103,0.00013456710792266556,-1.5704835903600594
6,2,-386.91541416943153,0.00013403609170195612,-2.4167362731029156
6,3,-144.17223573075785,0.00013356615565887427,-1.6050067630794052
6,4,-364.67454501398134,0.0001358247462542295,-2.3426102592364
6,5,-71.78467399554121,0.00013375778534895682,-1.3617972081673209
6,7,-211.41319218418812,0.00013317085333824265,-1.830453094121784
6,8,-279.9986436655512,0.00013358979064944683,-2.059939160535436
6,9,-288.3632388077819,0.00013434328756725545,-2.0878946143890844
6,10,-283.7167904518327,0.00013397715759338623,-2.072366511020333
6,11,-155.72619447396173,0.00013178429693669886,-1.6437773352327985
6,12,-230.37012668799287,0.00013363436344876142,-1.8939300599196063
6,13,-320.0649812882065,0.00013427527396844312,-2.193781569189661
6,14,-120.48328229727541,0.0001323047077257615,-1.5254739637770174
6,15,-135.49222169379937,0.0001339795212677663,-1.575871206979476
6,16,-317.508379156835,0.0001317607013659536,-2.185246019929558
6,17,-11.300786966220777,0.00013261130874159726,-1.1581780150513583
6,18,-362.4577293849229,0.00013500989603986338,-2.3352191512562337
6,19,-314.85786547787865,0.00013503405343772207,-2.1763962390102485
6,20,-419.79127086662396,0.00013434901409975218,-2.526215647209984
6,21,-242.17581121530426,0.00013459807211342346,-1.9334429365191586
6,22,-229.8750119632964,0.00013351266996428716,-1.8922726362340065
6,23,-147.05010058269497,0.0001320345574177662,-1.6146650071772075
6,24,-172.0909303261697,0.0001351164102934025,-1.6986680525233901
6,25,-172.2654342113184,0.00013356975549203291,-1.6992532297968332
6,26,-129.45169407396608,0.00013271567899635902,-1.5555909527935097
6,27,-430.62220898422464,0.00013515255936246692,-2.562259588421074
6,28,-72.9980098890835,0.0001312217033569033,-1.3658781431324327
6,29,-333.56161226922904,0.00013289443833490488,-2.2388309048562522
6,30,-114.23654680677463,0.00013334377587866607,-1.5044919127269314
6,31,-456.680235488071,0.00013578919181742258,-2.6489284724442888
6,32,-292.9045842108094,0.00013411923731619383,-2.1030693703054126
6,33,-259.80330475359347,0.00013440206455216786,-1.9924149521686523
6,34,-249.25302483083053,0.00013250903555690798,-1.9571232026691634
6,35,-392.2466150756822,0.00013450933061250685,-2.434497058440359
6,36,-23.758172829966547,0.0001325758547930907,-1.2001459399152956
6,37,-188.66815827595096,0.00013464336439559954,-1.7542440873820169
6,38,-393.50250625127916,0.0001323641992065167,-2.4386806151486127
6,39,-244.70079371847174,0.00013402768246132483,-1.9418920735793326
6,40,-504.08308404217524,0.00013369770297744864,-2.806412913945815
6,41,66.64271768069511,0.00013411708507751237,-0.895237585292994
6,42,-209.54640650599106,0.00013367617259196698,-1.8242002413834633
6,43,-470.52799948637204,0.00013593447185034633,-2.6949579781220567
6,44,-8.59368134947091,0.00013427818396955142,-1.1490559287762474
6,45,-379.5869992291371,0.0001333278904359356,-2.3923171162557395
6,46,-165.33162858882184,0.0001337920935982889,-1.6759992134506567
6,47,-194.3477856823252,0.00013372064134949122,-1.7732789900376198
6,48,-232.59744256077468,0.00013457271599949747,-1.9013858171397113
6,49,-298.2178062723432,0.0001319553946973752,-2.1208206899238027
7,0,-179.09084584701554,0.00011923924864140788,-1.662054516711013
7,1,-50.94329299991667,0.00012012161934941031,-1.2315669122375545
7,2,-227.91153096680426,0.00011767478945739339,-1.8255999042377136
7,3,-8.220316409411598,0.00012091545038597468,-1.0876594025889266
7,4,-62.30137426519412,0.00011837504867822004,-1.2697926720128412
7,5,-241.2919664224505,0.00012150045137384263,-1.8703791000259002
7,6,-199.21141762147386,0.00011843932735325942,-1.7294874754956546
7,8,-194.64105333214292,0.00011863206833326945,-1.7141739299800345
7,9,-239.25446375908973,0.00011848914173501684,-1.8635615862065509
7,10,13.331087936276882,0.00011516097100117603,-1.0149922380619785
7,11,-72.87073770065926,0.00011903047326661374,-1.3053516811727839
7,12,-127.88485266258526,0.00011795807337806003,-1.4902467126948031
7,13,-200.46576158969708,0.00011804128749822178,-1.7336899153458498
7,14,-59.69525916707236,0.00011828010886326352,-1.2610229719040777
7,15,-21.696062509810183,0.00011730366764563844,-1.1330718872950498
7,16,-261.5863802592738,0.00012025798879759522,-1.938260423911795
7,17,-216.08854656038278,0.00012046306683786839,-1.7860170750098712
7,18,-303.5032793419662,0.0001184073547435465,-2.0783265743977486
7,19,8.661426106138558,0.00011967135643026163,-1.0307416317319003
7,20,-101.99434413050646,0.00011748068578660085,-1.4032722237319715
7,21,7.750596838993824,0.00011963675991319306,-1.0338133197952997
7,22,-157.25699017271813,0.00011867254354731621,-1.588830972178357
7,23,-53.11126952745122,0.00011704739466882253,-1.2388643220052802
7,24,-10.950242269007827,0.00011711423217911563,-1.0968606556260094
7,25,-172.04517629443836,0.00011831640736786643,-1.6384311956875617
7,26,-105.79278511030272,0.00011657005119536193,-1.4160368539317583
7,27,20.522541778454205,0.00011842692559249686,-0.9907330387353934
7,28,-223.3423024589449,0.00012039470049945032,-1.8103040892112983
7,29,-16.565947632874586,0.00011951307041311825,-1.1157859747870573
7,30,-155.59231857589748,0.00011876834218727088,-1.5832461374950952
7,31,-173.5355105127847,0.00011668192609759153,-1.6434285545483616
7,32,-191.77904804262425,0.00011935299861833381,-1.704583314092071
7,33,42.476326052810926,0.00011698981561079911,-0.9166414134958352
7,34,-151.78058189685828,0.00012031870559467196,-1.570456970505592
7,35,-283.1985709692796,0.00011812844675904778,-2.0105013355874948
7,36,-150.09829977857538,0.00011821135274689765,-1.5648120747367398
7,37,-91.25298141602288,0.00011802827362683805,-1.3671676713183039
7,38,-70.99512341208234,0.00011845900265781307,-1.2990423293831554
7,39,-93.27829842182014,0.00011820393859276371,-1.3739762328841107
7,40,-87.43357909149803,0.00011918988662407421,-1.35432670075457
7,41,39.96344718623447,0.00011834735960576973,-0.9251247106123551
7,42,-298.0198602050452,0.00012013549597207279,-2.060014251695459
7,43,-113.41804180499626,0.00011855383515319985,-1.441656844159797
7,44,222.7160845695027,0.0001167836549862045,-0.30640015125692666
7,45,34.00670573885182,0.00011737422518310485,-0.945231547263475
7,46,-208.93737903579608,0.00011902396639325478,-1.7620680774829003
7,47,-218.19239511891038,0.00011985261010521466,-1.793061752791456
7,48,-163.78529085680742,0.00011836691911860299,-1.6107300396873063
7,49,37.95189531528082,0.0001177155554610662,-0.9319150785764868
8,0,-194.97013599851593,0.00021299323754869504,-2.076026366401818
8,1,-144.71711433140342,0.00021532511668699274,-1.9074750243458947
8,2,-610.4431854126038,0.00021463812551681706,-3.461857954745306
8,3,-592.256711737421,0.0002154595505301983,-3.4014848005774816
8,4,-327.79634641266955,0.00021196502912069822,-2.5205691193756192
8,5,-429.78868678266645,0.00021351764535827705,-2.860966253740499
8,6,-245.4071717129618,0.00021177113928331126,-2.244993754873459
8,7,-581.112797376698,0.00021893895393490216,-3.3644774827972697
8,9,-348.70417751415323,0.0002154132431674788,-2.5904159406860496
8,10,-243.2918300455202,0.00021308560568766271,-2.2379112709346733
8,11,-383.30997290821426,0.0002134197320378234,-2.7059472307045347
8,12,-291.81265566148716,0.0002116867688852964,-2.400277080448293
8,13,-779.3495030864493,0.00021774103037744058,-4.021292312634737
8,14,-312.4826284192949,0.00021917764376149372,-2.4693885345608537
8,15,-288.32089191976786,0.00021533110083645556,-2.388598784814585
8,16,-169.91987808948835,0.00021118087786721227,-1.9920314531916694
8,17,-221.3445862721304,0.0002112263329217944,-2.1644076522946407
8,18,-13.79253374477099,0.0002071691623878106,-1.4674074243082722
8,19,-241.5842239951889,0.00021244657432288613,-2.232193688830905
8,20,-466.6146870921102,0.00021737232113308715,-2.9836686081868615
8,21,-524.7100702456698,0.0002144409335761688,-3.1770191476297005
